% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.12	0	0	13	1	5	0	349	0
0.121	0	0	13	2	11	0	349	0
0.122	0	0	13	3	8	0	349	0
0.123	0	0	13	4	12	0	349	0
0.124	0	0	13	5	15	0	349	0
0.125	0	0	13	6	20	0	349	0
0.126	0	0	13	7	5	0	349	0
0.127	0	0	13	8	11	0	349	0
0.128	0	0	13	9	8	0	349	0
0.129	0	0	13	10	12	0	349	0
0.13	0	0	14	1	15	0	349	0
0.131	0	0	14	2	20	0	349	0
0.133	0	0	14	4	3	0	349	0
0.134	0	0	14	5	4	0	349	0
0.135	0	0	14	6	7	0	349	0
0.136	0	0	14	7	9	0	349	0
0.137	0	0	14	8	19	0	349	0
0.143	0	0	15	4	5	0	349	0
0.144	0	0	15	5	11	0	349	0
0.145	0	0	15	6	8	0	349	0
0.146	0	0	15	7	12	0	349	0
0.147	0	0	15	8	15	0	349	0
0.148	0	0	15	9	20	0	349	0
0.149	0	0	15	10	5	0	349	0
0.15	0	0	16	1	11	0	349	0
0.151	0	0	16	2	8	0	349	0
0.152	0	0	16	3	12	0	349	0
0.153	0	0	16	4	15	0	349	0
0.154	0	0	16	5	20	0	349	0
0.161	0	0	17	2	5	0	349	0
0.162	0	0	17	3	11	0	349	0
0.163	0	0	17	4	8	0	349	0
0.164	0	0	17	5	12	0	349	0
0.165	0	0	17	6	15	0	349	0
0.166	0	0	17	7	20	0	349	0
0.167	0	0	17	8	5	0	349	0
0.168	0	0	17	9	11	0	349	0
0.169	0	0	17	10	8	0	349	0
0.17	0	0	18	1	12	0	349	0
0.171	0	0	18	2	15	0	349	0
0.172	0	0	18	3	20	0	349	0
0.179	0	0	18	10	5	0	349	0
0.18	0	0	19	1	11	0	349	0
0.181	0	0	19	2	8	0	349	0
0.182	0	0	19	3	12	0	349	0
0.183	0	0	19	4	15	0	349	0
0.184	0	0	19	5	20	0	349	0
0.185	0	0	19	6	5	0	349	0
0.186	0	0	19	7	11	0	349	0
0.187	0	0	19	8	8	0	349	0
0.188	0	0	19	9	12	0	349	0
0.189	0	0	19	10	15	0	349	0
0.19	0	0	20	1	20	0	349	0
0.197	0	0	20	8	5	0	349	0
0.198	0	0	20	9	11	0	349	0
0.199	0	0	20	10	8	0	349	0
0.2	0	0	21	1	12	0	349	0
0.201	0	0	21	2	15	0	349	0
0.202	0	0	21	3	20	0	349	0
0.203	0	0	21	4	5	0	349	0
0.204	0	0	21	5	11	0	349	0
0.205	0	0	21	6	8	0	349	0
0.206	0	0	21	7	12	0	349	0
0.207	0	0	21	8	15	0	349	0
0.208	0	0	21	9	20	0	349	0
0.215	0	0	22	6	5	0	349	0
0.216	0	0	22	7	11	0	349	0
0.217	0	0	22	8	8	0	349	0
0.218	0	0	22	9	12	0	349	0
0.219	0	0	22	10	15	0	349	0
0.22	0	0	23	1	20	0	349	0
0.221	0	0	23	2	5	0	349	0
0.222	0	0	23	3	11	0	349	0
0.223	0	0	23	4	8	0	349	0
0.224	0	0	23	5	12	0	349	0
0.225	0	0	23	6	15	0	349	0
0.226	0	0	23	7	20	0	349	0
0.228	0	0	23	9	11	0	349	0
0.231	0	0	24	2	15	0	349	0
0.233	0	0	24	4	5	0	349	0
0.235	0	0	24	6	8	0	349	0
0.236	0	0	24	7	12	0	349	0
0.238	0	0	24	9	20	0	349	0
0.239	0	0	24	10	5	0	349	0
0.24	0	0	25	1	11	0	349	0
0.241	0	0	25	2	8	0	349	0
0.242	0	0	25	3	12	0	349	0
0.243	0	0	25	4	15	0	349	0
0.244	0	0	25	5	20	0	349	0
0.246	0	0	25	7	11	0	349	0
0.249	0	0	25	10	15	0	349	0
0.251	0	0	26	2	5	0	349	0
0.253	0	0	26	4	8	0	349	0
0.254	0	0	26	5	12	0	349	0
0.256	0	0	26	7	20	0	349	0
0.257	0	0	26	8	5	0	349	0
0.258	0	0	26	9	11	0	349	0
0.259	0	0	26	10	8	0	349	0
0.26	0	0	27	1	12	0	349	0
0.262	0	0	27	3	20	0	349	0
0.264	0	0	27	5	11	0	349	0
0.267	0	0	27	8	15	0	349	0
0.269	0	0	27	10	5	0	349	0
0.271	0	0	28	2	8	0	349	0
0.272	0	0	28	3	12	0	349	0
0.273	0	0	28	4	15	0	349	0
0.274	0	0	28	5	20	0	349	0
0.275	0	0	28	6	5	0	349	0
0.276	0	0	28	7	11	0	349	0
0.277	0	0	28	8	8	0	349	0
0.278	0	0	28	9	12	0	349	0
0.28	0	0	29	1	20	0	349	0
0.282	0	0	29	3	11	0	349	0
0.287	0	0	29	8	5	0	349	0
0.289	0	0	29	10	8	0	349	0
0.29	0	0	30	1	12	0	349	0
0.291	0	0	30	2	15	0	349	0
0.292	0	0	30	3	20	0	349	0
0.293	0	0	30	4	5	0	349	0
0.294	0	0	30	5	11	0	349	0
0.295	0	0	30	6	8	0	349	0
0.296	0	0	30	7	12	0	349	0
0.297	0	0	30	8	15	0	349	0
0.298	0	0	30	9	20	0	349	0
0.3	0	0	31	1	11	0	349	0
0.303	0	0	31	4	15	0	349	0
0.305	0	0	31	6	5	0	349	0
0.307	0	0	31	8	8	0	349	0
0.308	0	0	31	9	12	0	349	0
0.31	0	0	32	1	20	0	349	0
0.311	0	0	32	2	5	0	349	0
0.312	0	0	32	3	11	0	349	0
0.313	0	0	32	4	4	0	173	0
0.313	0	0	32	4	8	0	173	0
0.314	0	0	32	5	12	0	173	0
0.314	0	0	32	5	4	0	173	0
0.315	0	0	32	6	15	0	173	0
0.315	0	0	32	6	4	0	173	0
0.316	0	0	32	7	20	0	173	0
0.316	0	0	32	7	4	0	173	0
